Address,Port,Response Time(ms)
104.19.206.131,8443,150.32
104.19.202.141,2053,150.48
104.19.203.139,443,150.58
104.19.195.121,8443,150.59
104.19.199.13,2096,150.63
104.19.202.14,8443,150.65
104.19.197.217,443,150.71
104.19.200.188,2087,150.76
104.19.193.195,2096,150.82
104.19.205.76,2087,150.92
104.19.196.165,2053,150.99
104.19.201.7,2083,151.02
104.19.204.186,2083,151.04
104.19.199.197,2083,151.05
104.19.197.8,2083,151.06
104.19.198.178,2087,151.07
104.19.206.246,2083,151.15
104.19.197.71,2096,151.19
104.19.201.190,2087,151.20
104.19.193.253,2083,151.21
104.19.203.155,2087,151.22
104.19.207.93,2096,151.22
104.19.201.188,2096,151.25
104.19.196.131,2053,151.28
104.19.195.151,2083,151.34
104.19.193.224,2053,151.35
104.19.202.182,2087,151.44
104.19.199.57,2096,151.45
104.19.195.34,443,151.49
104.19.196.59,2053,151.51
104.19.203.124,2053,151.51
104.19.192.249,2053,151.52
104.19.194.212,2096,151.61
104.19.207.55,2087,151.62
104.19.201.126,2083,151.64
104.19.199.226,2053,151.64
104.19.198.213,2053,151.67
104.19.194.46,8443,151.67
104.19.194.239,2087,151.71
104.19.193.194,2083,151.72
104.19.192.71,443,151.73
104.19.195.101,8443,151.73
104.19.202.173,443,151.73
104.19.195.110,2053,151.74
104.19.204.193,2083,151.75
104.19.202.72,2053,151.75
104.19.195.57,2096,151.76
104.19.195.149,2083,151.77
104.19.194.107,443,151.81
104.19.204.167,2087,151.85
104.19.203.11,2087,151.85
104.19.198.198,2053,151.90
104.19.203.206,443,151.91
104.19.206.34,443,151.92
104.19.198.181,2083,151.94
104.19.199.51,443,151.94
104.19.201.129,2087,151.94
104.19.193.190,2087,151.95
104.19.196.134,2087,151.95
104.19.205.240,443,151.96
104.19.202.15,2053,151.96
104.19.207.228,2053,151.98
104.19.207.67,2087,151.98
104.19.200.183,2087,151.98
104.19.199.170,2096,151.99
104.19.195.106,2053,152.02
104.19.200.235,2096,152.04
104.19.197.209,2083,152.07
104.19.204.208,2096,152.08
104.19.200.12,2087,152.08
104.19.193.144,443,152.09
104.19.200.9,2087,152.10
104.19.195.106,2087,152.10
104.19.204.186,2053,152.10
104.19.195.147,8443,152.10
104.19.197.227,443,152.13
104.19.202.135,2087,152.14
104.19.196.223,8443,152.15
104.19.202.4,2096,152.18
104.19.192.143,8443,152.18
104.19.194.201,8443,152.19
104.19.195.56,8443,152.20
104.19.197.8,443,152.21
104.19.197.130,443,152.21
104.19.195.52,8443,152.22
104.19.207.249,2096,152.22
104.19.204.167,2096,152.23
104.19.206.33,2087,152.26
104.19.203.202,443,152.26
104.19.204.134,2083,152.27
104.19.199.194,2087,152.27
104.19.201.156,2087,152.28
104.19.197.183,2083,152.28
104.19.197.12,443,152.28
104.19.205.44,2053,152.29
104.19.203.161,2096,152.30
104.19.200.43,8443,152.31
104.19.203.214,8443,152.33
104.19.205.81,443,152.35
104.19.198.207,2053,152.36
104.19.192.83,2053,152.37
104.19.205.14,2096,152.38
104.19.206.206,443,152.40
104.19.206.23,2083,152.41
104.19.197.168,2096,152.42
104.19.200.89,2083,152.43
104.19.202.168,8443,152.44
104.19.202.79,2053,152.44
104.19.206.10,2083,152.44
104.19.196.65,2096,152.46
104.19.192.61,2087,152.46
104.19.195.5,2083,152.47
104.19.198.8,8443,152.47
104.19.203.226,443,152.48
104.19.193.195,443,152.48
104.19.195.121,2087,152.51
104.19.195.113,2083,152.51
104.19.203.16,2083,152.51
104.19.193.194,2053,152.52
104.19.196.223,2087,152.52
104.19.192.141,2096,152.53
104.19.199.7,2096,152.53
104.19.203.25,2087,152.53
104.19.204.220,2083,152.54
104.19.198.74,8443,152.55
104.19.201.78,2083,152.57
104.19.199.218,2096,152.57
104.19.202.64,8443,152.57
104.19.202.108,2087,152.58
104.19.203.220,2053,152.58
104.19.201.73,8443,152.58
104.19.192.91,2053,152.59
104.19.192.185,2096,152.59
104.19.197.217,2087,152.60
104.19.195.241,8443,152.61
104.19.205.134,2096,152.61
104.19.203.72,2083,152.62
104.19.197.130,2087,152.62
104.19.202.115,2053,152.64
104.19.199.122,2083,152.65
104.19.200.128,2083,152.65
104.19.196.170,443,152.65
104.19.203.195,2096,152.65
104.19.202.167,2096,152.66
104.19.206.67,2083,152.67
104.19.199.139,443,152.69
104.19.201.231,2083,152.70
104.19.201.56,2053,152.71
104.19.202.181,2096,152.71
104.19.195.159,2083,152.71
104.19.196.51,2087,152.71
104.19.196.125,2053,152.72
104.19.198.114,2053,152.73
104.19.200.188,2083,152.74
104.19.194.79,2087,152.74
104.19.200.239,443,152.74
104.19.201.27,2083,152.74
104.19.192.201,443,152.76
104.19.207.0,8443,152.76
104.19.197.107,2053,152.77
104.19.197.60,8443,152.77
104.19.202.216,2083,152.78
104.19.195.111,443,152.78
104.19.197.151,443,152.79
104.19.193.229,2083,152.80
104.19.200.64,2053,152.82
104.19.195.106,443,152.83
104.19.203.25,8443,152.83
104.19.207.29,2096,152.84
104.19.195.0,2053,152.84
104.19.192.74,2053,152.86
